Geography Type,Year,Geography,Population - Total,Population - Age 0-17,Population - Age 18-29,Population - Age 30-39,Population - Age 40-49,Population - Age 50-59,Population - Age 60-69,Population - Age 70-79,Population - Age 80+,Population - Female,Population - Male,Population - Latinx,Population - Asian Non-Latinx,Population - Black Non-Latinx,Population - White Non-Latinx,Population - Other Race Non-Latinx,Record ID
Citywide,2018,Chicago,2705988,548999,552935,456321,336457,312965,262991,155334,79986,1386113,1319875,776661,179841,784266,899980,119467,Citywide-Chicago-2018
ZIP Code,2018,60601,14675,,,,,,,,,,,,,,,,ZIP_Code-60601-2018
ZIP Code,2018,60602,1244,,,,,,,,,,,,,,,,ZIP_Code-60602-2018
ZIP Code,2018,60603,1174,,,,,,,,,,,,,,,,ZIP_Code-60603-2018
ZIP Code,2018,60604,782,,,,,,,,,,,,,,,,ZIP_Code-60604-2018
ZIP Code,2018,60605,27519,,,,,,,,,,,,,,,,ZIP_Code-60605-2018
ZIP Code,2018,60606,3101,,,,,,,,,,,,,,,,ZIP_Code-60606-2018
ZIP Code,2018,60607,29591,,,,,,,,,,,,,,,,ZIP_Code-60607-2018
ZIP Code,2018,60608,79205,,,,,,,,,,,,,,,,ZIP_Code-60608-2018
ZIP Code,2018,60609,61495,,,,,,,,,,,,,,,,ZIP_Code-60609-2018
ZIP Code,2018,60610,39019,,,,,,,,,,,,,,,,ZIP_Code-60610-2018
ZIP Code,2018,60611,32426,,,,,,,,,,,,,,,,ZIP_Code-60611-2018
ZIP Code,2018,60612,34311,,,,,,,,,,,,,,,,ZIP_Code-60612-2018
ZIP Code,2018,60613,50113,,,,,,,,,,,,,,,,ZIP_Code-60613-2018
ZIP Code,2018,60614,71308,,,,,,,,,,,,,,,,ZIP_Code-60614-2018
ZIP Code,2018,60615,41563,,,,,,,,,,,,,,,,ZIP_Code-60615-2018
ZIP Code,2018,60616,54464,,,,,,,,,,,,,,,,ZIP_Code-60616-2018
ZIP Code,2018,60617,82534,,,,,,,,,,,,,,,,ZIP_Code-60617-2018
ZIP Code,2018,60618,94395,,,,,,,,,,,,,,,,ZIP_Code-60618-2018
ZIP Code,2018,60619,61258,,,,,,,,,,,,,,,,ZIP_Code-60619-2018
ZIP Code,2018,60620,68096,,,,,,,,,,,,,,,,ZIP_Code-60620-2018
ZIP Code,2018,60621,29042,,,,,,,,,,,,,,,,ZIP_Code-60621-2018
ZIP Code,2018,60622,52793,,,,,,,,,,,,,,,,ZIP_Code-60622-2018
ZIP Code,2018,60623,85979,,,,,,,,,,,,,,,,ZIP_Code-60623-2018
ZIP Code,2018,60624,36158,,,,,,,,,,,,,,,,ZIP_Code-60624-2018
ZIP Code,2018,60625,79243,,,,,,,,,,,,,,,,ZIP_Code-60625-2018
ZIP Code,2018,60626,49730,,,,,,,,,,,,,,,,ZIP_Code-60626-2018
ZIP Code,2018,60628,66724,,,,,,,,,,,,,,,,ZIP_Code-60628-2018
ZIP Code,2018,60629,111850,,,,,,,,,,,,,,,,ZIP_Code-60629-2018
ZIP Code,2018,60630,57344,,,,,,,,,,,,,,,,ZIP_Code-60630-2018
ZIP Code,2018,60631,29529,,,,,,,,,,,,,,,,ZIP_Code-60631-2018
ZIP Code,2018,60632,91039,,,,,,,,,,,,,,,,ZIP_Code-60632-2018
ZIP Code,2018,60633,12871,,,,,,,,,,,,,,,,ZIP_Code-60633-2018
ZIP Code,2018,60634,75995,,,,,,,,,,,,,,,,ZIP_Code-60634-2018
ZIP Code,2018,60636,32203,,,,,,,,,,,,,,,,ZIP_Code-60636-2018
ZIP Code,2018,60637,47454,,,,,,,,,,,,,,,,ZIP_Code-60637-2018
ZIP Code,2018,60638,58797,,,,,,,,,,,,,,,,ZIP_Code-60638-2018
ZIP Code,2018,60639,90517,,,,,,,,,,,,,,,,ZIP_Code-60639-2018
ZIP Code,2018,60640,69715,,,,,,,,,,,,,,,,ZIP_Code-60640-2018
ZIP Code,2018,60641,71023,,,,,,,,,,,,,,,,ZIP_Code-60641-2018
ZIP Code,2018,60642,20201,,,,,,,,,,,,,,,,ZIP_Code-60642-2018
ZIP Code,2018,60643,49870,,,,,,,,,,,,,,,,ZIP_Code-60643-2018
ZIP Code,2018,60644,47712,,,,,,,,,,,,,,,,ZIP_Code-60644-2018
ZIP Code,2018,60645,47732,,,,,,,,,,,,,,,,ZIP_Code-60645-2018
ZIP Code,2018,60646,27987,,,,,,,,,,,,,,,,ZIP_Code-60646-2018
ZIP Code,2018,60647,87509,,,,,,,,,,,,,,,,ZIP_Code-60647-2018
ZIP Code,2018,60649,46024,,,,,,,,,,,,,,,,ZIP_Code-60649-2018
ZIP Code,2018,60651,63218,,,,,,,,,,,,,,,,ZIP_Code-60651-2018
ZIP Code,2018,60652,43907,,,,,,,,,,,,,,,,ZIP_Code-60652-2018
ZIP Code,2018,60653,31972,,,,,,,,,,,,,,,,ZIP_Code-60653-2018
ZIP Code,2018,60654,19135,,,,,,,,,,,,,,,,ZIP_Code-60654-2018
ZIP Code,2018,60655,28804,,,,,,,,,,,,,,,,ZIP_Code-60655-2018
ZIP Code,2018,60656,27579,,,,,,,,,,,,,,,,ZIP_Code-60656-2018
ZIP Code,2018,60657,70052,,,,,,,,,,,,,,,,ZIP_Code-60657-2018
ZIP Code,2018,60659,41068,,,,,,,,,,,,,,,,ZIP_Code-60659-2018
ZIP Code,2018,60660,43242,,,,,,,,,,,,,,,,ZIP_Code-60660-2018
ZIP Code,2018,60661,9926,,,,,,,,,,,,,,,,ZIP_Code-60661-2018
ZIP Code,2018,60666,0,,,,,,,,,,,,,,,,ZIP_Code-60666-2018
ZIP Code,2018,60707,43019,,,,,,,,,,,,,,,,ZIP_Code-60707-2018
ZIP Code,2018,60827,28577,,,,,,,,,,,,,,,,ZIP_Code-60827-2018
